POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
19;5;9;2:00.713;+2.174;+0.024;138.9;9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
20;48;9;2:00.809;+2.270;+0.096;138.8;9;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
21;1;9;2:01.235;+2.696;+0.426;138.3;9;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
22;81;9;2:01.311;+2.772;+0.076;138.2;9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
23;17;11;2:01.325;+2.786;+0.014;138.2;11;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
24;91;7;2:01.667;+3.128;+0.342;137.8;10;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santiago;BAZTARRICA;;;;;;;;;;
25;25;7;2:01.731;+3.192;+0.064;137.7;11;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miki;BLASCOS;;;ESP;BLA;;;;;;
26;33;10;2:02.197;+3.658;+0.466;137.2;10;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Kirill;KUTSKOV;;;KGZ;KUT;;;;;;
27;71;10;2:02.220;+3.681;+0.023;137.2;10;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Pablo;RICCOBONO;;;FRA;;;;;;;
28;57;7;2:02.835;+4.296;+0.615;136.5;10;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
29;37;4;2:03.117;+4.578;+0.282;136.2;4;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
30;27;7;2:03.172;+4.633;+0.055;136.1;10;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
31;55;9;2:03.325;+4.786;+0.153;135.9;9;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
32;88;3;2:03.876;+5.337;+0.551;135.3;4;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Rogerio;GROTTA;;;BRA;;;;;;;
33;32;7;2:04.034;+5.495;+0.158;135.2;10;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
34;6;4;2:04.241;+5.702;+0.207;134.9;8;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleix;PIÑERA;;;ESP;;;;;;;
