POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
12;4;14;1:44.149;+0.706;+0.026;152.9;17;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
13;48;13;1:44.171;+0.728;+0.022;152.9;14;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
14;19;12;1:44.229;+0.786;+0.058;152.8;15;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
15;11;14;1:44.253;+0.810;+0.024;152.7;17;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
16;78;15;1:44.308;+0.865;+0.055;152.7;20;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
17;25;17;1:44.453;+1.010;+0.145;152.4;17;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miki;BLASCOS;;;ESP;BLA;;;;;;
18;57;10;1:44.542;+1.099;+0.089;152.3;14;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
19;1;12;1:44.560;+1.117;+0.018;152.3;16;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
20;27;16;1:44.633;+1.190;+0.073;152.2;17;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
21;12;14;1:44.644;+1.201;+0.011;152.2;18;G4 Racing;R;;;Tuttus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;;;;;;;
22;37;11;1:44.655;+1.212;+0.011;152.1;17;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
23;55;16;1:44.655;+1.212;+0.000;152.1;18;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
24;13;15;1:44.657;+1.214;+0.002;152.1;18;G4 Racing;R;;;Tatuus F4 -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;;;;;;;
25;91;12;1:44.670;+1.227;+0.013;152.1;15;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
26;41;10;1:44.842;+1.399;+0.172;151.9;16;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
27;39;11;1:44.865;+1.422;+0.023;151.8;19;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
28;24;17;1:44.865;+1.422;+0.000;151.8;17;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
29;32;11;1:44.899;+1.456;+0.034;151.8;17;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
30;70;14;1:44.965;+1.522;+0.066;151.7;16;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
31;17;13;1:44.982;+1.539;+0.017;151.7;17;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
32;88;12;1:45.098;+1.655;+0.116;151.5;16;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Rogerio;GROTTA;;;BRA;;;;;;;
33;15;17;1:45.341;+1.898;+0.243;151.2;18;DXR;;;;Tatuus F4 T -421;;;;;;;;;;;;Rafaela;FERREIRA;;;BRA;;;;;;;
34;6;14;1:45.634;+2.191;+0.293;150.7;14;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lewis;WHERRELL;;;GBR;;;;;;;
