POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
25;12;6;1:45.218;+1.310;+0.033;151.3;7;G4 Racing;R;;;Tuttus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;;;;;;;
26;13;5;1:45.255;+1.347;+0.037;151.3;8;G4 Racing;R;;;Tatuus F4 -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;;;;;;;
27;24;7;1:45.255;+1.347;+0.000;151.3;8;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
28;27;4;1:45.265;+1.357;+0.010;151.3;8;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
29;78;4;1:45.275;+1.367;+0.010;151.2;9;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
30;6;7;1:45.518;+1.610;+0.243;150.9;12;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lewis;WHERRELL;;;GBR;;;;;;;
31;88;6;1:45.728;+1.820;+0.210;150.6;6;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Rogerio;GROTTA;;;BRA;;;;;;;
32;17;7;1:45.782;+1.874;+0.054;150.5;9;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
33;32;8;1:45.811;+1.903;+0.029;150.5;9;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
34;15;9;1:46.023;+2.115;+0.212;150.2;10;DXR;;;;Tatuus F4 T -421;;;;;;;;;;;;Rafaela;FERREIRA;;;BRA;;;;;;;
